shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shape_71-1,37,-97.83715,22.23733
shape_71-1,38,-97.83563,22.2397
shape_71-1,39,-97.83552,22.23965
shape_71-1,40,-97.83536,22.23973
shape_71-1,41,-97.83481,22.24037
shape_71-1,42,-97.83428,22.24092
shape_71-1,43,-97.83372,22.24052
shape_69-1,0,-97.83447,22.24888
shape_69-1,1,-97.83287,22.25024
shape_69-1,2,-97.83598,22.25332
shape_69-1,3,-97.83708,22.25446
shape_69-1,4,-97.83716,22.25457
shape_69-1,5,-97.83194,22.25899
shape_69-1,6,-97.83035,22.26031
shape_69-1,7,-97.82952,22.26089
shape_69-1,8,-97.82894,22.26144
shape_69-1,9,-97.82448,22.2653
shape_69-1,10,-97.83099,22.27204
shape_69-1,11,-97.83046,22.2725
shape_69-1,12,-97.82994,22.27295
shape_69-1,13,-97.82724,22.27528
shape_69-1,14,-97.82968,22.27777
shape_69-1,15,-97.82793,22.27837
shape_69-1,16,-97.82896,22.28061
shape_69-1,17,-97.83042,22.28406
shape_69-1,18,-97.83042,22.28406
shape_69-1,19,-97.82896,22.28061
shape_69-1,20,-97.82793,22.27837
shape_69-1,21,-97.82968,22.27777
shape_69-1,22,-97.82724,22.27528
shape_69-1,23,-97.82994,22.27295
shape_69-1,24,-97.83046,22.2725
shape_69-1,25,-97.83099,22.27204
shape_69-1,26,-97.82448,22.2653
shape_69-1,27,-97.82894,22.26144
shape_69-1,28,-97.82952,22.26089
shape_69-1,29,-97.83035,22.26031
shape_69-1,30,-97.83194,22.25899
shape_69-1,31,-97.83716,22.25457
shape_69-1,32,-97.83708,22.25446
shape_69-1,33,-97.83598,22.25332
shape_69-1,34,-97.83356,22.2509
shape_69-1,35,-97.83507,22.24953
shape_69-1,36,-97.835,22.24931
shape_69-1,37,-97.83487,22.24926
shape_69-1,38,-97.83445,22.24888
shape_72-1,0,-97.86009,22.25163
shape_72-1,1,-97.85983,22.24873
shape_72-1,2,-97.86003,22.24709
shape_72-1,3,-97.86016,22.24623
shape_72-1,4,-97.86292,22.24619
shape_72-1,5,-97.86251,22.23364
shape_72-1,6,-97.86097,22.23371
shape_72-1,7,-97.86111,22.23165
shape_72-1,8,-97.86103,22.23049
shape_72-1,9,-97.86139,22.22912
shape_72-1,10,-97.8614,22.22869
shape_72-1,11,-97.86048,22.22838
shape_72-1,12,-97.86171,22.22582
shape_72-1,13,-97.85827,22.22433
shape_72-1,14,-97.85942,22.2219
shape_72-1,15,-97.85584,22.2203
shape_72-1,16,-97.85924,22.21398
shape_72-1,17,-97.85924,22.21398
shape_72-1,18,-97.85671,22.21287
shape_72-1,19,-97.8546,22.21683
shape_72-1,20,-97.86327,22.2207
shape_72-1,21,-97.86357,22.22414
shape_72-1,22,-97.86293,22.22529
shape_72-1,23,-97.86258,22.22618
shape_72-1,24,-97.86203,22.22751
shape_72-1,25,-97.8614,22.22869
shape_72-1,26,-97.86273,22.22938
shape_72-1,27,-97.86256,22.23012
shape_72-1,28,-97.86351,22.23331
shape_72-1,29,-97.86344,22.23514
shape_72-1,30,-97.86353,22.23828
shape_72-1,31,-97.86379,22.24613
shape_72-1,32,-97.86381,22.24922
shape_72-1,33,-97.86364,22.25059
shape_72-1,34,-97.86007,22.25167
shape_88-1,0,-97.91973,22.42347
shape_88-1,1,-97.92237,22.42379
shape_88-1,2,-97.92224,22.42469
shape_88-1,3,-97.92518,22.42502
shape_88-1,4,-97.92957,22.42563
shape_88-1,5,-97.93107,22.42575
shape_88-1,6,-97.93356,22.4271
shape_88-1,7,-97.93476,22.41905
shape_88-1,8,-97.93453,22.41864
shape_88-1,9,-97.93457,22.41806
shape_88-1,10,-97.93335,22.41793
shape_88-1,11,-97.93392,22.41439
shape_88-1,12,-97.93363,22.41434
shape_88-1,13,-97.93378,22.41343
shape_88-1,14,-97.93146,22.41224
shape_88-1,15,-97.93831,22.40863
shape_88-1,16,-97.93717,22.40571
shape_88-1,17,-97.93804,22.39721
shape_88-1,18,-97.93688,22.39692
shape_88-1,19,-97.9367,22.39779
shape_88-1,20,-97.9367,22.39779
shape_88-1,21,-97.93735,22.39792
shape_88-1,22,-97.93797,22.39801
shape_88-1,23,-97.93717,22.40571
shape_88-1,24,-97.93831,22.40863
shape_88-1,25,-97.93146,22.41224
shape_88-1,26,-97.93378,22.41343
shape_88-1,27,-97.93363,22.41434
shape_88-1,28,-97.93392,22.41439
shape_88-1,29,-97.93335,22.41793
shape_88-1,30,-97.93457,22.41806
shape_88-1,31,-97.93453,22.41864
shape_88-1,32,-97.93476,22.41905
shape_88-1,33,-97.93356,22.4271
shape_88-1,34,-97.93107,22.42575
shape_88-1,35,-97.92957,22.42563
shape_88-1,36,-97.92518,22.42502
shape_88-1,37,-97.92224,22.42469
shape_88-1,38,-97.92237,22.42379
shape_61-1,0,-97.83735,22.24977
shape_61-1,1,-97.83808,22.25019
shape_61-1,2,-97.8448,22.23971
shape_61-1,3,-97.84555,22.24025
shape_61-1,4,-97.8464,22.24061
shape_61-1,5,-97.84722,22.23915
shape_61-1,6,-97.84822,22.23609
shape_61-1,7,-97.8465,22.23554
shape_61-1,8,-97.84699,22.2343
shape_61-1,9,-97.84425,22.23349
shape_61-1,10,-97.8464,22.22762
shape_61-1,11,-97.85043,22.21695
shape_61-1,12,-97.85122,22.21522
shape_61-1,13,-97.85211,22.21563
shape_61-1,14,-97.85375,22.21251
shape_61-1,15,-97.85377,22.21252
shape_61-1,16,-97.85459,22.21293
