route_id,direction_id,shape_id,service_id,trip_id
r11,1,shape_11-1,srv1111111,r11_trip_00_1
r11,1,shape_11-1,srv1111111,r11_trip_00_2
r11,1,shape_11-1,srv1111111,r11_trip_00_3
r11,1,shape_11-1,srv1111111,r11_trip_00_4
r11,1,shape_11-1,srv1111111,r11_trip_00_5
r11,1,shape_11-1,srv1111111,r11_trip_00_6
r11,1,shape_11-1,srv1111111,r11_trip_00_7
r11,1,shape_11-1,srv1111111,r11_trip_00_8
r11,1,shape_11-1,srv1111111,r11_trip_00_9
r120,1,shape_120-1,srv1111111,r120_trip_00_1
r120,1,shape_120-1,srv1111111,r120_trip_00_2
r120,1,shape_120-1,srv1111111,r120_trip_00_3
r120,1,shape_120-1,srv1111111,r120_trip_00_4
r120,1,shape_120-1,srv1111111,r120_trip_00_5
r120,1,shape_120-1,srv1111111,r120_trip_00_6
r120,1,shape_120-1,srv1111111,r120_trip_00_7
r120,1,shape_120-1,srv1111111,r120_trip_00_8
r120,1,shape_120-1,srv1111111,r120_trip_00_9
r12,1,shape_12-1,srv1111111,r12_trip_00_1
r12,1,shape_12-1,srv1111111,r12_trip_00_2
r12,1,shape_12-1,srv1111111,r12_trip_00_3
r12,1,shape_12-1,srv1111111,r12_trip_00_4
r12,1,shape_12-1,srv1111111,r12_trip_00_5
r12,1,shape_12-1,srv1111111,r12_trip_00_6
r12,1,shape_12-1,srv1111111,r12_trip_00_7
r12,1,shape_12-1,srv1111111,r12_trip_00_8
r12,1,shape_12-1,srv1111111,r12_trip_00_9
r14,1,shape_14-1,srv1111111,r14_trip_00_1
r14,1,shape_14-1,srv1111111,r14_trip_00_2
r14,1,shape_14-1,srv1111111,r14_trip_00_3
r14,1,shape_14-1,srv1111111,r14_trip_00_4
r14,1,shape_14-1,srv1111111,r14_trip_00_5
r14,1,shape_14-1,srv1111111,r14_trip_00_6
r14,1,shape_14-1,srv1111111,r14_trip_00_7
r14,1,shape_14-1,srv1111111,r14_trip_00_8
r14,1,shape_14-1,srv1111111,r14_trip_00_9
r15,1,shape_15-1,srv1111111,r15_trip_00_1
r15,1,shape_15-1,srv1111111,r15_trip_00_2
r15,1,shape_15-1,srv1111111,r15_trip_00_3
r15,1,shape_15-1,srv1111111,r15_trip_00_4
r15,1,shape_15-1,srv1111111,r15_trip_00_5
r15,1,shape_15-1,srv1111111,r15_trip_00_6
r15,1,shape_15-1,srv1111111,r15_trip_00_7
r15,1,shape_15-1,srv1111111,r15_trip_00_8
r15,1,shape_15-1,srv1111111,r15_trip_00_9
r16,1,shape_16-1,srv1111111,r16_trip_00_1
r16,1,shape_16-1,srv1111111,r16_trip_00_2
r16,1,shape_16-1,srv1111111,r16_trip_00_3
r16,1,shape_16-1,srv1111111,r16_trip_00_4
r16,1,shape_16-1,srv1111111,r16_trip_00_5
r16,1,shape_16-1,srv1111111,r16_trip_00_6
r16,1,shape_16-1,srv1111111,r16_trip_00_7
r16,1,shape_16-1,srv1111111,r16_trip_00_8
r16,1,shape_16-1,srv1111111,r16_trip_00_9
r17,1,shape_17-1,srv1111111,r17_trip_00_1
r17,1,shape_17-1,srv1111111,r17_trip_00_2
r17,1,shape_17-1,srv1111111,r17_trip_00_3
r17,1,shape_17-1,srv1111111,r17_trip_00_4
r17,1,shape_17-1,srv1111111,r17_trip_00_5
r17,1,shape_17-1,srv1111111,r17_trip_00_6
r17,1,shape_17-1,srv1111111,r17_trip_00_7
r17,1,shape_17-1,srv1111111,r17_trip_00_8
r17,1,shape_17-1,srv1111111,r17_trip_00_9
r18,1,shape_18-1,srv1111111,r18_trip_00_1
r18,1,shape_18-1,srv1111111,r18_trip_00_2
r18,1,shape_18-1,srv1111111,r18_trip_00_3
r18,1,shape_18-1,srv1111111,r18_trip_00_4
r18,1,shape_18-1,srv1111111,r18_trip_00_5
r18,1,shape_18-1,srv1111111,r18_trip_00_6
r18,1,shape_18-1,srv1111111,r18_trip_00_7
r18,1,shape_18-1,srv1111111,r18_trip_00_8
r18,1,shape_18-1,srv1111111,r18_trip_00_9
r19,1,shape_19-1,srv1111111,r19_trip_00_1
r19,1,shape_19-1,srv1111111,r19_trip_00_2
r19,1,shape_19-1,srv1111111,r19_trip_00_3
r19,1,shape_19-1,srv1111111,r19_trip_00_4
r19,1,shape_19-1,srv1111111,r19_trip_00_5
r19,1,shape_19-1,srv1111111,r19_trip_00_6
r19,1,shape_19-1,srv1111111,r19_trip_00_7
r19,1,shape_19-1,srv1111111,r19_trip_00_8
r19,1,shape_19-1,srv1111111,r19_trip_00_9
r1,1,shape_1-1,srv1111111,r1_trip_00_1
r1,1,shape_1-1,srv1111111,r1_trip_00_2
r1,1,shape_1-1,srv1111111,r1_trip_00_3
r1,1,shape_1-1,srv1111111,r1_trip_00_4
r1,1,shape_1-1,srv1111111,r1_trip_00_5
